Longitude, Latitude, Total, Males, Females
200,100,36,16,20
400,300,42,21,21
0,0,37,18,19
200,200,41,17,24
400,400,35,20,15
0,100,38,17,21
200,300,26,10,16
0,200,38,17,21
200,400,60,35,25
0,300,24,13,11
0,400,29,12,17
300,0,25,9,16
300,100,35,14,21
100,0,42,21,21
300,200,42,27,15
100,100,33,22,11
300,300,32,15,17
100,200,36,26,10
300,400,40,21,19
100,300,38,20,18
100,400,41,18,23
400,0,23,11,12
400,100,44,18,26
200,0,48,25,23
400,200,45,24,21
