Longitude, Latitude, Total, Males, Females
200,100,74,41,33
400,300,50,30,20
0,0,51,24,27
200,200,41,20,21
400,400,14,5,9
0,100,38,13,25
200,300,46,26,20
0,200,41,19,22
200,400,18,8,10
0,300,24,12,12
0,400,65,37,28
300,0,80,37,43
300,100,109,56,53
100,0,35,19,16
300,200,44,23,21
100,100,81,47,34
300,300,97,37,60
100,200,79,41,38
300,400,38,21,17
100,300,38,19,19
100,400,23,13,10
400,0,80,42,38
400,100,41,25,16
200,0,54,22,32
400,200,56,28,28
