Longitude, Latitude, Total, Males, Females
200,100,73,35,38
400,300,42,21,21
0,0,41,22,19
200,200,83,45,38
400,400,18,10,8
0,100,48,21,27
200,300,43,16,27
0,200,44,25,19
200,400,12,7,5
0,300,24,14,10
0,400,73,30,43
300,0,77,33,44
300,100,114,59,55
100,0,38,20,18
300,200,28,13,15
100,100,82,38,44
300,300,67,39,28
100,200,92,41,51
300,400,32,19,13
100,300,23,14,9
100,400,23,10,13
400,0,85,46,39
400,100,40,18,22
200,0,86,43,43
400,200,58,26,32
