Longitude, Latitude, Total, Males, Females
200,100,74,37,37
400,300,52,26,26
0,0,57,28,29
200,200,46,28,18
400,400,21,13,8
0,100,43,22,21
200,300,40,18,22
0,200,55,31,24
200,400,14,6,8
0,300,12,5,7
0,400,78,46,32
300,0,70,30,40
300,100,80,40,40
100,0,49,23,26
300,200,26,16,10
100,100,59,27,32
300,300,87,47,40
100,200,83,44,39
300,400,37,17,20
100,300,27,16,11
100,400,30,17,13
400,0,110,56,54
400,100,35,17,18
200,0,61,25,36
400,200,57,24,33
