Longitude, Latitude, Total, Males, Females
200,100,68,32,36
400,300,38,21,17
0,0,54,22,32
200,200,58,23,35
400,400,32,13,19
0,100,37,19,18
200,300,31,14,17
0,200,37,18,19
200,400,24,11,13
0,300,17,11,6
0,400,53,24,29
300,0,74,33,41
300,100,107,48,59
100,0,47,23,24
300,200,36,21,15
100,100,81,37,44
300,300,73,33,40
100,200,68,35,33
300,400,50,21,29
100,300,35,22,13
100,400,29,16,13
400,0,73,33,40
400,100,24,8,16
200,0,70,33,37
400,200,64,25,39
