Lon Lat K matrix habitat
200.00 300.00 76.1137 0.00000000 0.76113730
400.00 100.00 43.6342 0.00000000 0.43634213
0.00 400.00 65.4599 0.00000000 0.65459930
200.00 200.00 64.9833 0.00000000 0.64983282
400.00 0.00 29.4162 0.00000000 0.29416151
0.00 300.00 43.5780 0.00000000 0.43577993
200.00 100.00 41.6641 0.00000000 0.41664102
0.00 200.00 54.0594 0.00000000 0.54059434
200.00 0.00 20.4422 0.00000000 0.20442202
0.00 100.00 20.0564 0.00000000 0.20056380
0.00 0.00 75.3711 0.00000000 0.75371080
300.00 400.00 78.4944 0.00000000 0.78494405
300.00 300.00 107.4914 0.00000000 1.07491435
100.00 400.00 46.3218 0.00000000 0.46321836
300.00 200.00 48.1291 0.00000000 0.48129097
100.00 300.00 82.7877 0.00000000 0.82787674
300.00 100.00 91.7389 0.00000000 0.91738912
100.00 200.00 89.2134 0.00000000 0.89213407
300.00 0.00 52.1216 0.00000000 0.52121639
100.00 100.00 35.1970 0.00000000 0.35197026
100.00 0.00 26.4306 0.00000000 0.26430616
400.00 400.00 98.3048 0.00000000 0.98304768
400.00 300.00 46.2774 0.00000000 0.46277412
200.00 400.00 79.1779 0.00000000 0.79177938
400.00 200.00 58.8328 0.00000000 0.58832804
