Longitude, Latitude, Total, Males, Females
200,100,88,38,50
400,300,29,14,15
0,0,58,33,25
200,200,49,25,24
400,400,25,13,12
0,100,58,35,23
200,300,28,13,15
0,200,36,20,16
200,400,11,5,6
0,300,19,12,7
0,400,66,29,37
300,0,42,17,25
300,100,108,61,47
100,0,33,14,19
300,200,45,22,23
100,100,74,29,45
300,300,97,51,46
100,200,100,52,48
300,400,31,16,15
100,300,37,15,22
100,400,17,11,6
400,0,83,46,37
400,100,44,28,16
200,0,83,38,45
400,200,52,30,22
