Longitude, Latitude, Heterozygocity
200,100,0.569222
400,300,0.530143
0,0,0.559826
200,200,0.560136
400,400,0.509149
0,100,0.531084
200,300,0.523137
0,200,0.552235
200,400,0.499794
0,300,0.491494
0,400,0.585910
300,0,0.593062
300,100,0.615538
100,0,0.547761
300,200,0.546290
100,100,0.597730
300,300,0.594038
100,200,0.606201
300,400,0.555063
100,300,0.507336
100,400,0.501705
400,0,0.605002
400,100,0.532043
200,0,0.578408
400,200,0.558505
