Longitude, Latitude, Heterozygocity
200,100,0.118653
400,300,0.121424
0,0,0.134162
200,200,0.130410
400,400,0.123626
0,100,0.111688
200,300,0.134765
0,200,0.127399
200,400,0.113463
0,300,0.122478
0,400,0.138433
300,0,0.121179
300,100,0.130370
100,0,0.108625
300,200,0.128434
100,100,0.130070
300,300,0.133492
100,200,0.123836
300,400,0.129870
100,300,0.124729
100,400,0.109141
400,0,0.125075
400,100,0.108814
200,0,0.121678
400,200,0.096727
