Year,Id,Stage,Age,Sex,CurrentX,CurrentY,CurrentPatch
2000,1009762,juvenile,1,male,417.494244,127.355766,2
2000,1009761,juvenile,1,female,417.494244,127.355766,2
2000,1009792,juvenile,1,female,51.410453,458.808371,3
2000,1009791,juvenile,1,male,51.410453,458.808371,3
2000,1009790,juvenile,1,male,51.410453,458.808371,3
2000,1009789,juvenile,1,female,417.494244,127.355766,2
2000,1009788,juvenile,1,female,417.494244,127.355766,2
2000,1009787,juvenile,1,female,417.494244,127.355766,2
2000,1009786,juvenile,1,male,417.494244,127.355766,2
2000,1009785,juvenile,1,male,417.494244,127.355766,2
2000,1009784,juvenile,1,male,417.494244,127.355766,2
2000,1009783,juvenile,1,male,417.494244,127.355766,2
2000,1009782,juvenile,1,male,417.494244,127.355766,2
2000,1009781,juvenile,1,male,417.494244,127.355766,2
2000,1009780,juvenile,1,male,417.494244,127.355766,2
2000,1009779,juvenile,1,male,417.494244,127.355766,2
2000,1009778,juvenile,1,female,417.494244,127.355766,2
2000,1009777,juvenile,1,male,417.494244,127.355766,2
2000,1009808,juvenile,1,male,51.410453,458.808371,3
2000,1009807,juvenile,1,male,51.410453,458.808371,3
2000,1009806,juvenile,1,female,51.410453,458.808371,3
2000,1009805,juvenile,1,female,51.410453,458.808371,3
2000,1009804,juvenile,1,male,51.410453,458.808371,3
2000,1009803,juvenile,1,male,51.410453,458.808371,3
2000,1009802,juvenile,1,male,51.410453,458.808371,3
2000,1009801,juvenile,1,male,51.410453,458.808371,3
2000,1009800,juvenile,1,female,51.410453,458.808371,3
2000,1009799,juvenile,1,male,51.410453,458.808371,3
2000,1009798,juvenile,1,female,51.410453,458.808371,3
2000,1009797,juvenile,1,male,51.410453,458.808371,3
2000,1009796,juvenile,1,male,51.410453,458.808371,3
2000,1009795,juvenile,1,female,51.410453,458.808371,3
2000,1009794,juvenile,1,female,51.410453,458.808371,3
2000,1009793,juvenile,1,female,51.410453,458.808371,3
2000,1009824,juvenile,1,female,51.410453,458.808371,3
2000,1009823,juvenile,1,female,51.410453,458.808371,3
2000,1009822,juvenile,1,female,51.410453,458.808371,3
2000,1009821,juvenile,1,female,51.410453,458.808371,3
2000,1009820,juvenile,1,male,51.410453,458.808371,3
2000,1009819,juvenile,1,male,51.410453,458.808371,3
2000,1009818,juvenile,1,male,51.410453,458.808371,3
2000,1009817,juvenile,1,female,51.410453,458.808371,3
2000,1009816,juvenile,1,male,51.410453,458.808371,3
2000,1009815,juvenile,1,male,51.410453,458.808371,3
2000,1009814,juvenile,1,male,51.410453,458.808371,3
2000,1009813,juvenile,1,male,51.410453,458.808371,3
2000,1009812,juvenile,1,female,51.410453,458.808371,3
2000,1009811,juvenile,1,female,51.410453,458.808371,3
2000,1009810,juvenile,1,male,51.410453,458.808371,3
2000,1009809,juvenile,1,female,51.410453,458.808371,3
2000,1009840,juvenile,1,female,210.506586,242.216333,4
2000,1009839,juvenile,1,female,235.447530,255.227167,4
2000,1009838,juvenile,1,female,235.447530,255.227167,4
2000,1009837,juvenile,1,male,235.447530,255.227167,4
2000,1009836,juvenile,1,male,235.447530,255.227167,4
2000,1009835,juvenile,1,male,235.447530,255.227167,4
2000,1009834,juvenile,1,female,51.410453,458.808371,3
2000,1009833,juvenile,1,male,51.410453,458.808371,3
2000,1009832,juvenile,1,female,51.410453,458.808371,3
2000,1009831,juvenile,1,female,51.410453,458.808371,3
2000,1009830,juvenile,1,male,51.410453,458.808371,3
2000,1009829,juvenile,1,male,51.410453,458.808371,3
2000,1009828,juvenile,1,male,51.410453,458.808371,3
2000,1009827,juvenile,1,male,51.410453,458.808371,3
2000,1009826,juvenile,1,male,51.410453,458.808371,3
2000,1009825,juvenile,1,female,51.410453,458.808371,3
2000,1009856,juvenile,1,male,210.506586,242.216333,4
2000,1009855,juvenile,1,male,210.506586,242.216333,4
2000,1009854,juvenile,1,male,210.506586,242.216333,4
2000,1009853,juvenile,1,female,210.506586,242.216333,4
2000,1009852,juvenile,1,female,210.506586,242.216333,4
2000,1009851,juvenile,1,female,210.506586,242.216333,4
2000,1009850,juvenile,1,male,210.506586,242.216333,4
2000,1009849,juvenile,1,female,210.506586,242.216333,4
2000,1009848,juvenile,1,female,210.506586,242.216333,4
2000,1009847,juvenile,1,female,210.506586,242.216333,4
