Longitude, Latitude, Total, Males, Females
200,100,21,9,12
400,300,53,29,24
0,0,19,9,10
200,200,42,26,16
400,400,15,1,14
0,100,43,20,23
200,300,56,29,27
0,200,33,19,14
200,400,28,16,12
0,300,27,17,10
0,400,17,8,9
300,0,39,16,23
300,100,36,21,15
100,0,49,21,28
300,200,39,16,23
100,100,53,24,29
300,300,33,19,14
100,200,25,17,8
300,400,29,15,14
100,300,45,26,19
100,400,44,24,20
400,0,22,13,9
400,100,32,14,18
200,0,4,3,1
400,200,37,23,14
