Longitude, Latitude, Total, Males, Females
200,100,243,122,121
400,300,376,202,174
0,0,250,126,124
200,200,39,24,15
400,400,86,40,46
0,100,240,139,101
200,300,116,54,62
0,200,387,204,183
200,400,256,131,125
0,300,0,0,0
0,400,412,214,198
300,0,0,0,0
300,100,319,163,156
100,0,368,197,171
300,200,155,77,78
100,100,82,47,35
300,300,356,186,170
100,200,200,94,106
300,400,0,0,0
100,300,121,67,54
100,400,379,176,203
400,0,99,53,46
400,100,36,15,21
200,0,170,98,72
400,200,266,128,138
