Longitude, Latitude, Total, Males, Females
200,100,75,36,39
400,300,49,20,29
0,0,57,27,30
200,200,61,31,30
400,400,21,11,10
0,100,43,23,20
200,300,44,26,18
0,200,41,17,24
200,400,14,7,7
0,300,11,7,4
0,400,70,36,34
300,0,78,41,37
300,100,82,34,48
100,0,37,22,15
300,200,43,21,22
100,100,80,38,42
300,300,79,33,46
100,200,97,47,50
300,400,38,22,16
100,300,46,20,26
100,400,16,6,10
400,0,97,47,50
400,100,57,30,27
200,0,73,34,39
400,200,70,31,39
