Longitude, Latitude, Total, Males, Females
200,100,57,28,29
400,300,53,27,26
0,0,67,34,33
200,200,77,41,36
400,400,38,21,17
0,100,45,18,27
200,300,37,21,16
0,200,42,24,18
200,400,15,8,7
0,300,8,4,4
0,400,65,31,34
300,0,75,41,34
300,100,121,54,67
100,0,44,23,21
300,200,44,25,19
100,100,91,39,52
300,300,73,34,39
100,200,85,47,38
300,400,61,31,30
100,300,33,17,16
100,400,16,11,5
400,0,92,48,44
400,100,36,16,20
200,0,70,37,33
400,200,41,25,16
