Longitude, Latitude, Total, Males, Females
200,100,48,24,24
400,300,34,17,17
0,0,52,24,28
200,200,29,14,15
400,400,44,22,22
0,100,34,21,13
200,300,33,17,16
0,200,47,20,27
200,400,38,23,15
0,300,28,24,4
0,400,19,10,9
300,0,44,18,26
300,100,37,16,21
100,0,52,28,24
300,200,33,11,22
100,100,51,35,16
300,300,37,16,21
100,200,38,20,18
300,400,16,8,8
100,300,43,23,20
100,400,54,31,23
400,0,26,11,15
400,100,57,27,30
200,0,48,26,22
400,200,46,25,21
