Lon Lat K matrix habitat
200.00 300.00 100.0000 0.00000000 1.00000000
400.00 100.00 100.0000 0.00000000 1.00000000
0.00 400.00 100.0000 0.00000000 1.00000000
200.00 200.00 100.0000 0.00000000 1.00000000
400.00 0.00 100.0000 0.00000000 1.00000000
0.00 300.00 100.0000 0.00000000 1.00000000
200.00 100.00 100.0000 0.00000000 1.00000000
0.00 200.00 100.0000 0.00000000 1.00000000
200.00 0.00 100.0000 0.00000000 1.00000000
0.00 100.00 100.0000 0.00000000 1.00000000
0.00 0.00 100.0000 0.00000000 1.00000000
300.00 400.00 100.0000 0.00000000 1.00000000
300.00 300.00 100.0000 0.00000000 1.00000000
100.00 400.00 100.0000 0.00000000 1.00000000
300.00 200.00 100.0000 0.00000000 1.00000000
100.00 300.00 100.0000 0.00000000 1.00000000
300.00 100.00 100.0000 0.00000000 1.00000000
100.00 200.00 100.0000 0.00000000 1.00000000
300.00 0.00 100.0000 0.00000000 1.00000000
100.00 100.00 100.0000 0.00000000 1.00000000
100.00 0.00 100.0000 0.00000000 1.00000000
400.00 400.00 100.0000 0.00000000 1.00000000
400.00 300.00 100.0000 0.00000000 1.00000000
200.00 400.00 100.0000 0.00000000 1.00000000
400.00 200.00 100.0000 0.00000000 1.00000000
