Longitude, Latitude, Heterozygocity
200,100,0.167768
400,300,NaN
0,0,NaN
200,200,0.149594
400,400,0.138473
0,100,0.178710
200,300,0.182307
0,200,0.175962
200,400,0.173555
0,300,0.162677
0,400,0.156648
300,0,0.164987
300,100,0.131386
100,0,NaN
300,200,0.108891
100,100,0.154845
300,300,0.148685
100,200,0.135830
300,400,0.139616
100,300,0.154435
100,400,0.165751
400,0,0.119595
400,100,NaN
200,0,0.146466
400,200,NaN
