Longitude, Latitude, Heterozygocity
200,100,0.132534
400,300,0.126686
0,0,0.131979
200,200,0.136221
400,400,0.132978
0,100,0.122692
200,300,0.147353
0,200,0.132497
200,400,0.130869
0,300,0.127539
0,400,0.148504
300,0,0.122752
300,100,0.147990
100,0,0.109248
300,200,0.132867
100,100,0.137317
300,300,0.143804
100,200,0.129234
300,400,0.134366
100,300,0.132784
100,400,0.111158
400,0,0.132867
400,100,0.117744
200,0,0.124970
400,200,0.111833
