StageId,Sex,DensityDependent,Evolving,FindMate,ProbabilityUnsettle,SODistribution,SOParameters,AlphaDistribution,AlphaParameters,BetaDistribution,BetaParameters
1,male,#,#,FALSE,0,fixed,{value=1.0},#,#,#,#
1,female,#,#,FALSE,0,fixed,{value=1.0},#,#,#,#
