StageId,Sex,DensityDependent,Evolving,D0Distribution,D0Parameters,BetaDistribution,BetaParameters,AlphaDistribution,AlphaParameters
1,male,FALSE,FALSE,uniform,{min=0.1 max=0.2},fixed,{value=10.0},fixed,{value=1.0}
1,female,FALSE,FALSE,uniform,{min=0.1 max=0.2},fixed,{value=10.0},fixed,{value=1.0}
