Longitude, Latitude, Heterozygocity
200,100,0.545684
400,300,0.510636
0,0,0.530813
200,200,0.531656
400,400,0.500604
0,100,0.517796
200,300,0.505045
0,200,0.528966
200,400,0.498850
0,300,0.490751
0,400,0.556317
300,0,0.555708
300,100,0.584233
100,0,0.525790
300,200,0.521490
100,100,0.565928
300,300,0.561589
100,200,0.573491
300,400,0.532038
100,300,0.497861
100,400,0.499405
400,0,0.573806
400,100,0.515955
200,0,0.547388
400,200,0.532201
