Longitude, Latitude, Heterozygocity
200,100,0.563668
400,300,0.526581
0,0,0.554920
200,200,0.555888
400,400,0.506162
0,100,0.527797
200,300,0.516412
0,200,0.544378
200,400,0.499836
0,300,0.491151
0,400,0.580297
300,0,0.585026
300,100,0.608535
100,0,0.544458
300,200,0.541269
100,100,0.589457
300,300,0.587687
100,200,0.601024
300,400,0.546212
100,300,0.504979
100,400,0.500481
400,0,0.595093
400,100,0.527827
200,0,0.572740
400,200,0.551160
